average_linear_velocity,average_obstalce_size,number_dynamic_obstacles
0.67,0.62,8
0.0,0.0,0
0.0,0.0,0
0.62,0.58,8
0.41,0.6,8
0.73,0.51,12
0.46,0.58,6
0.7,0.35,3
0.48,0.34,6
0.62,0.51,6
0.0,0.0,0
0.51,0.53,4
0.58,0.66,12
0.0,0.0,0
0.64,0.9,4
0.58,0.42,6
0.82,0.33,4
0.76,0.6,6
0.27,0.81,3
0.56,0.65,8
0.63,0.65,8
0.58,0.49,6
0.71,0.53,4
0.0,0.0,0
0.48,0.58,8
0.5,0.59,6
0.44,0.73,2
0.0,0.0,0
0.0,0.0,0
0.98,0.79,2
0.57,0.52,3
0.57,0.17,2
0.6,0.49,8
0.43,0.49,4
0.69,0.58,9
0.0,0.0,0
0.0,0.0,0
0.41,0.44,2
0.53,0.63,4
0.47,0.45,3
0.67,0.68,3
0.55,0.58,8
0.49,0.49,12
0.0,0.0,0
0.67,0.49,8
0.83,0.56,2
0.53,0.45,6
0.0,0.0,0
0.83,0.4,4
0.47,0.66,6
0.63,0.43,4
0.0,0.0,0
0.55,0.6,6
0.66,0.65,4
0.46,0.69,3
0.61,0.79,3
0.48,0.76,4
0.44,0.54,8
0.59,0.55,12
0.0,0.0,0
0.35,0.49,6
0.71,0.37,6
0.49,0.39,4
0.0,0.0,0
0.67,0.44,4
0.6,0.65,9
0.59,0.65,9
0.59,0.5,9
0.39,0.65,4
0.47,0.57,12
0.39,0.48,4
0.0,0.0,0
0.57,0.49,3
0.52,0.54,12
0.55,0.38,2
0.0,0.0,0
0.78,0.47,9
0.51,0.6,3
0.47,0.65,8
0.65,0.68,6
0.44,0.51,6
0.65,0.62,6
0.58,0.39,2
0.42,0.82,6
0.58,0.66,8
0.48,0.4,6
0.69,0.59,6
0.56,0.62,6
0.48,0.42,3
0.53,0.65,12
0.52,0.43,6
0.46,0.51,9
0.43,0.62,9
0.45,0.6,9
0.35,0.63,6
0.63,0.52,2
0.0,0.0,0
0.74,0.6,8
0.68,0.63,8
0.6,0.55,6
0.73,0.49,4
0.56,0.38,3
0.41,0.5,9
0.66,0.58,8
0.59,0.6,9
0.47,0.63,12
0.53,0.68,4
0.47,0.62,3
0.61,0.44,6
0.48,0.55,9
0.54,0.46,12
0.58,0.44,4
0.0,0.0,0
0.62,0.55,12
0.0,0.0,0
0.56,0.66,8
0.74,0.52,12
0.0,0.0,0
0.74,0.57,6
0.46,0.75,9
0.0,0.0,0
0.45,0.45,6
0.61,0.62,12
0.68,0.59,6
0.65,0.63,4
0.56,0.6,6
0.49,0.38,6
0.69,0.67,8
0.53,0.35,8
0.93,0.6,3
0.46,0.7,6
0.0,0.0,0
0.66,0.39,4
0.42,0.62,12
0.66,0.54,6
0.67,0.49,6
0.54,0.43,12
0.53,0.48,8
0.54,0.81,2
0.59,0.53,6
0.39,0.36,4
0.49,0.61,4
0.61,0.63,6
0.69,0.53,8
0.48,0.49,8
0.47,0.65,6
0.62,0.66,6
0.66,0.56,6
0.45,0.48,6
0.66,0.55,3
0.57,0.5,4
0.63,0.47,4
0.0,0.0,0
0.64,0.41,8
0.52,0.59,6
0.76,0.93,2
0.48,0.55,12
0.53,0.4,6
0.56,0.49,4
0.28,0.42,4
0.58,0.55,4
0.41,0.41,12
0.74,0.42,4
0.89,0.95,2
0.54,0.38,3
0.56,0.51,12
0.0,0.0,0
0.39,0.37,4
0.45,0.57,9
0.56,0.63,8
0.0,0.0,0
0.62,0.62,3
0.73,0.39,2
0.52,0.45,6
0.41,0.7,8
0.59,0.33,4
0.61,0.54,2
0.49,0.75,9
