robot_max_speed,robot_radius,success_rate,collision_rate,average_collision_amount,timeout_rate,timeout_collision_rate,average_path_length,average_time_diff,width,height,indoor_map_type,iterations,corridor_width,outdoor_map_type,num_static_obstacles,static_obstacle_size,other_map_type,mean_angle_info,entropy,map_size,max_entropy,num_obs_cv2,occupancy_ratio,distance_normalized,distance_avg,distance_variance,average_linear_velocity,average_obstalce_size,number_dynamic_obstalces,dyn_obstacle_occupation,crowdnav,dwa,rlca,teb
2,0.267,0.8,0.2,0.3,0.0,0.0,63.84,1805600001805.0,50,90,0,0,0,1,0,2,0,180.0,0.0273,2250,2.3219,2,0.0613,0.0,0.0,1.0,0.73,0.59,3,2,1,0,0,0
0.22,0.113,0.67,0.3,0.57,0.03,0.03,85.79,2213563335545.97,50,90,0,0,0,1,10,4,0,270.0,0.0251,2250,2.3219,12,0.236,0.4,0.0202,0.0,0.39,0.56,3,2,1,0,0,0
1.1,0.625,0.33,0.6,1.7,0.07,0.53,32.74,3913426670577.93,50,90,0,0,0,1,40,4,0,317.6471,0.0184,2250,2.3219,9,0.546,0.6,0.0243,0.0001,0.56,0.64,6,4,1,0,0,0
0.22,0.113,0.23,0.77,20.17,0.0,0.23,334.43,2318360002315.6,90,70,1,30,3,0,0,0,0,180.0,0.0229,3150,2.3219,4,0.5573,0.5,0.0043,0.0,0.65,0.7,9,6,0,0,1,0
2,0.267,0.45,0.55,3.59,0.0,0.0,35.28,789586207685.52,50,70,0,0,0,1,30,6,0,300.0,0.0084,1750,2.3219,8,0.7631,0.5,0.123,0.0001,0.53,0.74,6,4,0,0,1,0
1.1,0.625,0.3,0.7,1.4,0.0,0.23,67.12,2934480002932.8,70,70,1,30,5,0,0,0,0,120.0,0.0243,2450,2.3219,6,0.3594,0.7,0.0078,0.0,0.46,0.71,6,4,1,0,0,0
0.22,0.113,1.0,0.0,0.0,0.0,0.0,109.48,1725413335056.47,70,50,0,0,0,1,0,4,0,180.0,0.0219,1750,2.3219,2,0.0674,1.0,0.0003,0.0,0.0,0.0,0,0,1,0,0,0
2,0.267,0.63,0.37,0.6,0.0,0.0,103.12,2142200002141.0,90,90,0,0,0,1,0,6,0,180.0,0.0454,4050,2.3219,2,0.044,0.0,0.0,1.0,0.51,0.5,12,6,1,0,0,0
0.22,0.113,0.03,0.9,3.07,0.07,0.73,103.48,5443413338774.47,90,70,0,0,0,1,20,4,0,293.0233,0.0327,3150,2.3219,14,0.2646,0.4,0.012,0.0,0.62,0.66,9,6,1,0,0,0
0.22,0.113,0.43,0.57,0.73,0.0,0.0,65.61,1367586668033.53,70,50,1,30,4,0,0,0,0,240.0,0.0155,1750,2.3219,4,0.4634,0.8,0.009,0.0,0.57,0.57,6,3,1,0,0,0
